timestamp,phase,flighttime,lat,lon,alt,pressure,temperature,voltage
2024-08-20T10:05:58+09:00,1,317,0.00,40.2423,140.0103,2.89,1014.81,33.60,5.6
2024-08-20T10:05:59+09:00,1,318,0.00,40.2423,140.0103,2.79,1014.77,33.60,5.6
2024-08-20T10:06:00+09:00,1,319,0.00,40.2423,140.0103,2.79,1014.81,33.60,5.6
2024-08-20T10:06:01+09:00,1,320,0.00,40.2423,140.0103,2.79,1014.80,33.60,5.6
2024-08-20T10:06:02+09:00,1,321,0.00,40.2423,140.0103,2.79,1014.79,33.60,5.6
2024-08-20T10:06:03+09:00,1,322,0.00,40.2423,140.0103,2.79,1014.82,33.60,5.6
2024-08-20T10:06:04+09:00,1,323,0.00,40.2423,140.0103,2.79,1014.82,33.60,5.6
2024-08-20T10:06:05+09:00,1,324,0.00,40.2423,140.0103,2.79,1014.79,33.60,5.6
2024-08-20T10:06:06+09:00,1,325,0.00,40.2423,140.0103,2.79,1014.79,33.60,5.6
2024-08-20T10:06:07+09:00,1,326,0.00,40.2423,140.0103,2.79,1014.84,33.60,5.6
2024-08-20T10:06:08+09:00,1,327,0.00,40.2423,140.0103,2.79,1014.79,33.60,5.6
2024-08-20T10:06:09+09:00,1,328,0.00,40.2423,140.0103,2.79,1014.83,33.60,5.6
2024-08-20T10:06:10+09:00,1,329,0.00,40.2423,140.0103,2.79,1014.79,33.60,5.6
2024-08-20T10:06:11+09:00,1,330,0.00,40.2423,140.0103,2.79,1014.76,33.60,5.6
2024-08-20T10:06:12+09:00,1,331,0.00,40.2423,140.0103,2.79,1014.76,33.60,5.6
2024-08-20T10:06:13+09:00,1,332,0.00,40.2423,140.0103,2.79,1014.81,33.60,5.6
2024-08-20T10:06:14+09:00,1,333,0.00,40.2423,140.0103,2.79,1014.76,33.60,5.6
2024-08-20T10:06:15+09:00,1,334,0.00,40.2423,140.0103,2.79,1014.76,33.60,5.6
2024-08-20T10:06:16+09:00,1,335,0.00,40.2423,140.0103,2.79,1014.78,33.60,5.6
2024-08-20T10:06:17+09:00,1,336,0.00,40.2423,140.0103,2.70,1014.79,33.60,5.6
2024-08-20T10:06:18+09:00,1,337,0.00,40.2423,140.0103,2.70,1014.79,33.60,5.6
2024-08-20T10:06:19+09:00,1,338,0.00,40.2423,140.0103,2.70,1014.77,33.60,5.6
2024-08-20T10:06:20+09:00,1,339,0.00,40.2423,140.0103,2.70,1014.74,33.60,5.6
2024-08-20T10:06:21+09:00,1,340,0.00,40.2423,140.0103,2.70,1014.75,33.60,5.6
2024-08-20T10:06:22+09:00,1,341,0.00,40.2423,140.0103,2.70,1014.79,33.60,5.6
2024-08-20T10:06:23+09:00,1,342,0.00,40.2423,140.0103,2.70,1014.74,33.60,5.6
2024-08-20T10:06:24+09:00,1,343,0.00,40.2423,140.0103,2.60,1014.90,33.70,5.6
2024-08-20T10:06:25+09:00,1,344,0.00,40.2423,140.0103,2.60,1014.92,33.70,5.6
2024-08-20T10:06:26+09:00,1,345,0.00,40.2423,140.0103,2.60,1014.88,33.70,5.6
2024-08-20T10:06:27+09:00,1,346,0.00,40.2423,140.0103,2.60,1014.82,33.60,5.6
2024-08-20T10:06:28+09:00,1,347,0.00,40.2423,140.0103,2.60,1014.88,33.70,5.6
2024-08-20T10:06:29+09:00,1,348,0.00,40.2423,140.0103,2.60,1014.77,33.60,5.6
2024-08-20T10:06:30+09:00,1,349,0.00,40.2423,140.0103,2.60,1014.91,33.70,5.6
2024-08-20T10:06:31+09:00,1,350,0.00,40.2423,140.0103,2.60,1014.77,33.60,5.6
2024-08-20T10:06:32+09:00,1,351,0.00,40.2423,140.0103,2.60,1014.91,33.70,5.6
2024-08-20T10:06:33+09:00,1,352,0.00,40.2423,140.0103,2.60,1014.79,33.60,5.6
2024-08-20T10:06:34+09:00,1,353,0.00,40.2423,140.0103,2.60,1014.93,33.70,5.6
2024-08-20T10:06:35+09:00,1,354,0.00,40.2423,140.0103,2.60,1014.76,33.60,5.6
2024-08-20T10:06:36+09:00,1,355,0.00,40.2423,140.0103,2.60,1014.87,33.60,5.6
2024-08-20T10:06:37+09:00,1,356,0.00,40.2423,140.0103,2.60,1014.75,33.60,5.6
2024-08-20T10:06:38+09:00,1,357,0.00,40.2423,140.0103,2.60,1014.78,33.60,5.6
2024-08-20T10:06:39+09:00,1,358,0.00,40.2423,140.0103,2.60,1014.76,33.60,5.6
2024-08-20T10:06:40+09:00,1,359,0.00,40.2423,140.0103,2.60,1014.76,33.60,5.6
2024-08-20T10:06:41+09:00,1,360,0.00,40.2423,140.0103,2.60,1014.77,33.60,5.6
2024-08-20T10:06:42+09:00,1,361,0.00,40.2423,140.0103,2.60,1014.79,33.60,5.6
2024-08-20T10:06:43+09:00,1,362,0.00,40.2423,140.0103,2.60,1014.77,33.60,5.6
2024-08-20T10:06:44+09:00,1,363,0.00,40.2423,140.0103,2.60,1014.80,33.60,5.6
2024-08-20T10:06:45+09:00,1,364,0.00,40.2423,140.0103,2.60,1014.78,33.60,5.6
2024-08-20T10:06:46+09:00,1,365,0.00,40.2423,140.0103,2.60,1014.78,33.60,5.6
2024-08-20T10:06:47+09:00,1,366,0.00,40.2423,140.0103,2.60,1014.78,33.60,5.6
2024-08-20T10:06:48+09:00,1,367,0.00,40.2423,140.0103,2.60,1014.78,33.60,5.6
2024-08-20T10:06:49+09:00,1,368,0.00,40.2423,140.0103,2.60,1014.79,33.60,5.6
2024-08-20T10:06:50+09:00,1,369,0.00,40.2423,140.0103,2.60,1014.78,33.60,5.6
2024-08-20T10:06:51+09:00,1,370,0.00,40.2423,140.0103,2.60,1014.73,33.60,5.6
2024-08-20T10:06:52+09:00,1,371,0.00,40.2423,140.0103,2.60,1014.78,33.60,5.6
2024-08-20T10:06:53+09:00,1,372,0.00,40.2423,140.0103,2.60,1014.72,33.60,5.6
2024-08-20T10:06:54+09:00,1,373,0.00,40.2423,140.0103,2.60,1014.75,33.60,5.6
2024-08-20T10:06:55+09:00,1,374,0.00,40.2423,140.0103,2.60,1014.81,33.60,5.6
2024-08-20T10:06:56+09:00,1,375,0.00,40.2423,140.0103,2.60,1014.76,33.60,5.6
2024-08-20T10:06:57+09:00,1,376,0.00,40.2423,140.0103,2.60,1014.78,33.60,5.6
2024-08-20T10:06:58+09:00,1,377,0.00,40.2423,140.0103,2.60,1014.75,33.60,5.6
2024-08-20T10:06:59+09:00,1,378,0.00,40.2423,140.0103,2.60,1014.76,33.60,5.6
2024-08-20T10:07:00+09:00,1,379,0.00,40.2423,140.0103,2.60,1014.77,33.60,5.6
2024-08-20T10:07:01+09:00,1,380,0.00,40.2423,140.0103,2.60,1014.76,33.60,5.6
2024-08-20T10:07:02+09:00,1,381,0.00,40.2423,140.0103,2.60,1014.76,33.60,5.6
2024-08-20T10:07:03+09:00,1,382,0.00,40.2423,140.0103,2.60,1014.79,33.60,5.6
2024-08-20T10:07:04+09:00,1,383,0.00,40.2423,140.0103,2.60,1014.78,33.60,5.6
2024-08-20T10:07:05+09:00,1,384,0.00,40.2423,140.0103,2.60,1014.80,33.60,5.6
2024-08-20T10:07:06+09:00,1,385,0.00,40.2423,140.0103,2.60,1014.75,33.60,5.6
2024-08-20T10:07:07+09:00,1,386,0.00,40.2423,140.0103,2.60,1014.76,33.60,5.6
2024-08-20T10:07:08+09:00,1,387,0.00,40.2423,140.0103,2.60,1014.76,33.60,5.6
2024-08-20T10:07:09+09:00,1,388,0.00,40.2423,140.0103,2.60,1014.77,33.60,5.6
2024-08-20T10:07:09+09:00,1,389,0.00,40.2423,140.0103,2.60,1014.76,33.60,5.6
2024-08-20T10:07:10+09:00,1,390,0.00,40.2423,140.0103,2.60,1014.73,33.60,5.6
2024-08-20T10:07:11+09:00,1,391,0.00,40.2423,140.0103,2.60,1014.77,33.60,5.6
2024-08-20T10:07:12+09:00,1,392,0.00,40.2423,140.0103,2.60,1014.80,33.60,5.6
2024-08-20T10:07:13+09:00,1,393,0.00,40.2423,140.0103,2.60,1014.79,33.50,5.6
2024-08-20T10:07:14+09:00,1,394,0.00,40.2423,140.0103,2.60,1014.76,33.60,5.6
2024-08-20T10:07:15+09:00,1,395,0.00,40.2423,140.0103,2.60,1014.74,33.60,5.6
2024-08-20T10:07:16+09:00,1,396,0.00,40.2423,140.0103,2.60,1014.77,33.50,5.6
2024-08-20T10:07:17+09:00,1,397,0.00,40.2423,140.0103,2.60,1014.77,33.50,5.6
2024-08-20T10:07:18+09:00,1,398,0.00,40.2423,140.0103,2.60,1014.75,33.50,5.6
2024-08-20T10:07:19+09:00,1,399,0.00,40.2423,140.0103,2.60,1014.72,33.50,5.6
2024-08-20T10:07:20+09:00,1,400,0.00,40.2423,140.0103,2.60,1014.75,33.60,5.6
2024-08-20T10:07:21+09:00,1,401,0.00,40.2423,140.0103,2.60,1014.74,33.60,5.6
2024-08-20T10:07:22+09:00,1,402,0.00,40.2423,140.0103,2.60,1014.73,33.50,5.6
2024-08-20T10:07:23+09:00,1,403,0.00,40.2423,140.0103,2.60,1014.74,33.60,5.6
2024-08-20T10:07:24+09:00,1,404,0.00,40.2423,140.0103,2.60,1014.74,33.60,5.6
2024-08-20T10:07:25+09:00,1,405,0.00,40.2423,140.0103,2.60,1014.74,33.50,5.6
2024-08-20T10:07:26+09:00,1,406,0.00,40.2423,140.0103,2.60,1014.75,33.50,5.6
2024-08-20T10:07:27+09:00,1,407,0.00,40.2423,140.0103,2.60,1014.75,33.50,5.6
2024-08-20T10:07:28+09:00,1,408,0.00,40.2423,140.0103,2.60,1014.88,33.60,5.6
2024-08-20T10:07:30+09:00,1,409,0.00,40.2423,140.0103,2.60,1014.72,33.50,5.6
2024-08-20T10:07:31+09:00,1,410,0.00,40.2423,140.0103,2.60,1014.87,33.60,5.6
2024-08-20T10:07:32+09:00,1,411,0.00,40.2423,140.0103,2.60,1014.73,33.50,5.6
2024-08-20T10:07:33+09:00,1,412,0.00,40.2423,140.0103,2.60,1014.87,33.60,5.6
2024-08-20T10:07:34+09:00,1,413,0.00,40.2423,140.0103,2.60,1014.75,33.50,5.6
2024-08-20T10:07:35+09:00,1,414,0.00,40.2423,140.0103,2.60,1014.88,33.60,5.6
2024-08-20T10:07:36+09:00,1,415,0.00,40.2423,140.0103,2.60,1014.70,33.50,5.6
2024-08-20T10:07:37+09:00,1,416,0.00,40.2423,140.0103,2.60,1014.90,33.60,5.6
2024-08-20T10:07:38+09:00,1,417,0.00,40.2423,140.0103,2.60,1014.71,33.50,5.6
2024-08-20T10:07:39+09:00,1,418,0.00,40.2423,140.0103,2.60,1014.87,33.60,5.6
2024-08-20T10:07:40+09:00,1,419,0.00,40.2423,140.0103,2.60,1014.73,33.50,5.6
2024-08-20T10:07:41+09:00,1,420,0.00,40.2423,140.0103,2.60,1014.89,33.60,5.6
2024-08-20T10:07:42+09:00,1,421,0.00,40.2423,140.0103,2.60,1014.73,33.50,5.6
2024-08-20T10:07:43+09:00,1,422,0.00,40.2423,140.0103,2.60,1014.91,33.60,5.6
2024-08-20T10:07:44+09:00,1,423,0.00,40.2423,140.0103,2.60,1014.72,33.50,5.6
2024-08-20T10:07:45+09:00,1,424,0.00,40.2423,140.0103,2.60,1014.88,33.60,5.6
2024-08-20T10:07:46+09:00,1,425,0.00,40.2423,140.0103,2.60,1014.76,33.50,5.6
2024-08-20T10:07:47+09:00,1,426,0.00,40.2423,140.0103,2.60,1014.71,33.50,5.6
